address_line_1,address_line_2,city,name,phone,state,url,zip_code,address,Updated_Date
1 Walden Galleria,Space D206,Buffalo,Walden Galleria Mall,(716) 681-0914,NY,https://stores.ladyfootlocker.com//us/ny/buffalo/1-walden-galleria.html,14225,"1 Walden Galleria, Space D206, Buffalo, NY, 14225",28-02-2021
90-15 Queens Blvd,Space 2012,Elmhurst,Queens Fashion Center,(718) 760-3271,NY,https://stores.ladyfootlocker.com//us/ny/elmhurst/90-15-queens-blvd.html,11373,"90-15 Queens Blvd, Space 2012, Elmhurst, NY, 11373",28-02-2021
630 Old Country Rd,Space 1154,Garden City,Roosevelt Field Mall,(516) 739-5425,NY,https://stores.ladyfootlocker.com//us/ny/garden-city/630-old-country-rd.html,11530,"630 Old Country Rd, Space 1154, Garden City, NY, 11530",28-02-2021
523 Broadway,,New York,523 Broadway,(212) 965-0493,NY,https://stores.ladyfootlocker.com//us/ny/new-york/523-broadway.html,10012,"523 Broadway, New York, NY, 10012",28-02-2021
200 C Avenue,,Lawton,Central Mall,(580) 353-4422,OK,https://stores.ladyfootlocker.com//us/ok/lawton/200-c-avenue.html,73501,"200 C Avenue, Lawton, OK, 73501",28-02-2021
1901 Nw Expressway,Suite 2012,Oklahoma City,Penn Square Mall,(405) 848-4569,OK,https://stores.ladyfootlocker.com//us/ok/oklahoma-city/1901-nw-expressway.html,73118,"1901 Nw Expressway, Suite 2012, Oklahoma City, OK, 73118",28-02-2021
7021 South Memorial,Space 243,Tulsa,Woodland Hills Mall,(918) 250-6611,OK,https://stores.ladyfootlocker.com//us/ok/tulsa/7021-south-memorial.html,74133,"7021 South Memorial, Space 243, Tulsa, OK, 74133",28-02-2021
305 West Fm 1382,Suite 602,Cedar Hill,Hillside Village,(972) 293-8059,TX,https://stores.ladyfootlocker.com//us/tx/cedar-hill/305-west-fm-1382.html,75104,"305 West Fm 1382, Suite 602, Cedar Hill, TX, 75104",28-02-2021
1500 Harvey Road,Space 2026,College Station,Post Oak Mall,(979) 696-1881,TX,https://stores.ladyfootlocker.com//us/tx/college-station/1500-harvey-road.html,77840,"1500 Harvey Road, Space 2026, College Station, TX, 77840",28-02-2021
8401 Gateway West,Space F3a,El Paso,Cielo Vista Mall,(915) 779-8123,TX,https://stores.ladyfootlocker.com//us/tx/el-paso/8401-gateway-west.html,79925,"8401 Gateway West, Space F3a, El Paso, TX, 79925",28-02-2021
4800 S Hulen St,Suite 227,Fort Worth,Hulen Mall,(817) 294-5816,TX,https://stores.ladyfootlocker.com//us/tx/fort-worth/4800-s-hulen-st.html,76132,"4800 S Hulen St, Suite 227, Fort Worth, TX, 76132",28-02-2021
1360 Baybrook Mall,,Friendswood,Baybrook Mall,(281) 480-8550,TX,https://stores.ladyfootlocker.com//us/tx/friendswood/1360-baybrook-mall.html,77546,"1360 Baybrook Mall, Friendswood, TX, 77546",28-02-2021
5300 San Dario,Suite 178a-B,Laredo,Mall Del Norte,(956) 722-3764,TX,https://stores.ladyfootlocker.com//us/tx/laredo/5300-san-dario.html,78041,"5300 San Dario, Suite 178a-B, Laredo, TX, 78041",28-02-2021
6002 Slide Rd,,Lubbock,South Plains Mall,(806) 799-0322,TX,https://stores.ladyfootlocker.com//us/tx/lubbock/6002-slide-rd.html,79414,"6002 Slide Rd, Lubbock, TX, 79414",28-02-2021
2200 S 10th St,Space 1-16a,Mcallen,La Plaza Mall,(956) 668-1740,TX,https://stores.ladyfootlocker.com//us/tx/mcallen/2200-s-10th-st.html,78503,"2200 S 10th St, Space 1-16a, Mcallen, TX, 78503",28-02-2021
2156 Town East Mall,,Mesquite,Town East Mall,(972) 279-7019,TX,https://stores.ladyfootlocker.com//us/tx/mesquite/2156-town-east-mall.html,75150,"2156 Town East Mall, Mesquite, TX, 75150",28-02-2021
1321 N Columbia Ctr,Suite 361,Kennewick,Columbia Center,(509) 736-0830,WA,https://stores.ladyfootlocker.com//us/wa/kennewick/1321-n-columbia-ctr.html,99336,"1321 N Columbia Ctr, Suite 361, Kennewick, WA, 99336",28-02-2021
304 Southcenter Mall,,Tukwila,Westfield Southcenter,(206) 241-1501,WA,https://stores.ladyfootlocker.com//us/wa/tukwila/304-southcenter-mall.html,98188,"304 Southcenter Mall, Tukwila, WA, 98188",28-02-2021
2841 Greenbriar Pky,Space N233,Atlanta,Greenbriar Mall,(404) 344-6216,GA,https://stores.ladyfootlocker.com/us/ga/atlanta/2841-greenbriar-pky.html,30331,"2841 Greenbriar Pky, Space N233, Atlanta, GA, 30331",28-02-2021
3393 Peachtree Rd Ne,Space 2016,Atlanta,Lenox Square Mall,(404) 266-0107,GA,https://stores.ladyfootlocker.com/us/ga/atlanta/3393-peachtree-rd-ne.html,30326,"3393 Peachtree Rd Ne, Space 2016, Atlanta, GA, 30326",28-02-2021
1009 Garden State Plaza,,Paramus,Westfield Garden State Plaza,(201) 843-2605,NJ,https://stores.ladyfootlocker.com/us/nj/paramus/1009-garden-state-plaza.html,7652,"1009 Garden State Plaza, Paramus, NJ, 07652",28-02-2021
700 Paramus Park,Ste 1021,Paramus,Paramus Park Mall,(201) 261-9118,NJ,https://stores.ladyfootlocker.com/us/nj/paramus/700-paramus-park.html,7652,"700 Paramus Park, Ste 1021, Paramus, NJ, 07652",28-02-2021
400 Calle Betances ,,Caguas ,Las Catalinas Mall,(787) 745-0560,,https://stores.ladyfootlocker.com//pr/pr/carolina/200-ave-fragoso.html,725,"400 Calle Betances , Caguas , , 00725",28-02-2021
200 Ave Fragoso,,Carolina ,Plaza Carolina,(787) 752-4460 ,,https://stores.ladyfootlocker.com//pr/pr/caguas/400-calle-betances.html,983,"200 Ave Fragoso, Carolina , , 00983",28-02-2021
